"date","beepno","beeptime","Relaxed","Down","Irritated","Satisfied","Lonely","Anxious","Enthusiastic","Suspicious","Cheerful","Guilty","Indecisive","Strong","Restless","Agitated","Worrying","Concentration"
"13/08/12","1","21","5","-1","1","5","-1","-1","4","1","5","-1","1","5","1","1","1","5"
"14/08/12","5","88","4","0","3","3","0","0","3","1","4","0","1","4","1","2","1","4"
"14/08/12","6","108","4","0","2","3","0","0","4","1","4","0","2","4","2","1","1","3"
"14/08/12","8","135","4","0","1","4","0","0","4","1","4","1","1","4","1","1","1","4"
"14/08/12","9","173","4","0","2","4","0","0","4","1","4","1","2","3","2","1","1","4"
"14/08/12","10","187","5","0","1","4","0","0","3","1","3","1","2","3","1","1","1","3"
"15/08/12","2","35","5","0","1","3","0","0","3","1","4","0","3","4","1","1","1","4"
"15/08/12","3","41","3","1","1","3","0","0","3","1","3","0","4","3","1","1","1","4"
"15/08/12","4","71","3","0","3","3","0","0","3","1","3","0","3","4","1","3","1","4"
"15/08/12","5","82","3","0","2","4","0","-1","3","1","3","1","3","4","2","2","1","3"
"15/08/12","6","109","2","-1","4","2","0","0","3","2","3","1","2","3","1","3","1","4"
"15/08/12","7","123","4","0","3","3","0","0","3","1","3","0","2","3","2","3","1","4"
"15/08/12","8","141","4","0","2","4","0","0","3","1","4","0","2","3","3","2","1","4"
"15/08/12","9","160","3","-1","3","3","0","0","3","1","3","1","3","3","2","3","1","3"
"15/08/12","10","179","4","0","2","1","0","0","3","1","4","0","1","4","1","1","1","3"
"16/08/12","2","25","5","1","2","4","0","0","3","1","3","0","3","3","2","2","1","4"
"16/08/12","3","47","3","0","3","3","0","0","3","1","3","0","3","4","3","2","1","4"
"16/08/12","10","189","4","0","3","3","0","0","3","1","4","0","2","3","2","2","1","4"
"17/08/12","1","3","5","1","1","4","0","-1","3","1","3","-1","1","3","1","1","1","2"
"17/08/12","2","28","5","0","1","5","-1","-1","4","1","4","0","2","5","1","1","1","5"
"17/08/12","3","50","5","1","2","3","0","-1","3","1","3","0","2","4","2","2","1","4"
"17/08/12","5","93","3","0","3","3","-1","-1","3","1","4","-1","2","4","2","3","1","3"
"17/08/12","6","113","3","0","3","3","0","0","3","1","3","0","3","3","3","3","1","4"
"17/08/12","7","118","5","0","2","5","-1","-1","5","1","5","0","1","5","1","1","1","5"
"17/08/12","8","134","5","0","1","3","-1","-1","4","1","4","-1","2","4","2","2","1","3"
"17/08/12","9","155","5","0","1","4","0","0","4","1","4","0","1","4","1","1","1","4"
"17/08/12","10","175","5","0","1","5","-1","-1","5","1","5","-1","2","5","1","1","1","4"
"18/08/12","1","14","5","0","1","5","0","0","5","1","5","0","1","5","1","1","1","5"
"18/08/12","2","29","5","0","2","4","0","0","3","1","4","0","2","4","1","1","1","4"
"18/08/12","6","112","6","0","1","5","0","0","4","1","5","0","1","5","1","1","1","5"
"18/08/12","8","148","4","0","2","5","0","0","4","1","5","1","2","4","1","2","1","4"
"18/08/12","9","170","5","0","1","4","0","0","3","1","4","0","2","3","1","1","1","4"
"18/08/12","10","186","5","0","2","4","0","0","3","1","4","0","2","3","2","1","1","4"
"19/08/12","2","30","4","2","2","3","2","1","3","2","3","1","4","3","2","2","4","4"
"19/08/12","4","60","4","2","1","3","1","0","3","2","3","0","2","3","2","2","3","3"
"19/08/12","5","91","4","1","2","4","1","0","3","1","3","0","2","3","1","1","2","4"
"19/08/12","6","103","4","0","2","4","0","0","4","1","4","0","2","3","2","2","1","4"
"19/08/12","7","127","5","0","1","5","0","0","4","1","5","0","2","4","2","2","1","4"
"19/08/12","8","140","5","0","1","4","0","0","4","1","5","0","1","5","1","1","5","5"
"20/08/12","4","62","4","0","2","4","0","0","3","1","4","0","2","4","2","2","1","5"
"20/08/12","6","106","4","0","2","4","0","0","3","1","4","0","2","4","2","2","1","5"
"20/08/12","9","169","5","0","1","5","0","0","5","1","5","0","1","5","1","1","1","5"
"21/08/12","1","12","5","0","1","5","0","0","5","1","5","0","1","5","1","1","1","5"
"21/08/12","3","43","4","0","1","3","0","0","3","1","3","0","3","3","1","1","1","3"
"21/08/12","4","72","3","1","2","3","0","0","4","1","4","1","3","3","1","2","1","4"
"21/08/12","5","88","4","1","1","3","0","0","3","1","3","1","4","3","1","2","1","2"
"21/08/12","6","108","5","0","1","4","0","0","3","1","4","1","2","3","1","2","1","4"
"21/08/12","7","119","4","0","2","4","0","0","4","1","4","0","2","4","2","2","1","4"
"21/08/12","9","173","5","0","1","5","0","0","5","1","5","0","1","5","1","1","1","5"
"21/08/12","10","187","4","0","3","4","0","0","4","1","4","0","1","5","1","2","1","5"
"22/08/12","1","19","4","1","1","3","0","-1","3","1","3","0","2","3","1","1","1","4"
"22/08/12","2","35","4","0","1","4","0","0","4","1","4","0","3","4","1","1","1","4"
"22/08/12","3","41","4","0","2","4","0","0","4","1","4","0","2","4","2","2","1","4"
"22/08/12","4","71","3","0","3","4","0","0","4","1","4","0","2","4","2","3","1","4"
"22/08/12","5","82","4","0","3","5","0","0","4","1","5","0","2","5","2","2","1","5"
